Location;Industry;Subcategory_ID;Hierarchy_Level;Data_Type;Global_Brand_Owner;Unit;Year_text;Year_date;Year_minus_2016;Volume
8;Alcoholic Drinks;13;1;Total Volume;Kirin Holdings Co Ltd;million litres;2018;31 12 2018;6;4266,661004
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Kirin Holdings Co Ltd;million litres;2019;31-12-19;7;4298,312544
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Kirin Holdings Co Ltd;million litres;2020;Thu, 31 December 2020;8;4038,236031
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Kirin Holdings Co Ltd;million litres;2021;31-12-21;9;2763,065364
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Diageo Plc;million litres;2017;31 12 2017;5;1826,571202
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Diageo Plc;million litres;2018;31 12 2018;6;1842,78428
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Diageo Plc;million litres;2019;31 12 2019;7;1743,241742
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Diageo Plc;million litres;2020;Thu, 31 December 2020;8;2455,008651
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Diageo Plc;million litres;2021;Friday, 31 Dec 2021;9;2508,306602
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Constellation Brands Inc;million litres;2017;Sunday, 31 Dec 2017;5;1506,373588
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Constellation Brands Inc;million litres;2018;31 12 2018;6;1670,817872
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Constellation Brands Inc;million litres;2019;31-Dec-19;7;1859,013286
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Constellation Brands Inc;million litres;2020;31 12 2020;8;2073,769748
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Constellation Brands Inc;million litres;2021;31-12-21;9;2303,541615
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;San Miguel Corp;million litres;2017;Sunday, 31 Dec 2017;5;1582,253627
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;San Miguel Corp;million litres;2018;31 12 2018;6;1635,442111
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;San Miguel Corp;million litres;2019;31 12 2019;7;1662,977692
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;San Miguel Corp;million litres;2020;31 12 2020;8;1913,559748
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;San Miguel Corp;million litres;2021;Friday, 31 Dec 2021;9;2177,162971
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Castel Groupe;million litres;2017;31-12-17;5;1750,933458
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Castel Groupe;million litres;2018;Monday, 31 Dec 2018;6;1842,218732
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Castel Groupe;million litres;2019;31-Dec-19;7;1769,724406
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Castel Groupe;million litres;2020;31 12 2020;8;1740,416722
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Castel Groupe;million litres;2021;31 12 2021;9;1733,730953
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Saigon Alcohol Beer & Beverages Corp (Sabeco);million litres;2017;31 12 2017;5;1298,701231
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Saigon Alcohol Beer & Beverages Corp (Sabeco);million litres;2018;31 12 2018;6;1339,999961
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Saigon Alcohol Beer & Beverages Corp (Sabeco);million litres;2019;31-Dec-19;7;1396,799955
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Saigon Alcohol Beer & Beverages Corp (Sabeco);million litres;2020;Thursday, 31 Dec 2020;8;1527,453336
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Saigon Alcohol Beer & Beverages Corp (Sabeco);million litres;2021;31-Dec-21;9;1654,31789
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Cervejaria PetrÃ³polis SA;million litres;2017;Sun, 31 December 2017;5;1489,940538
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Cervejaria PetrÃ³polis SA;million litres;2018;31 12 2018;6;1629,510855
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Cervejaria PetrÃ³polis SA;million litres;2019;Tuesday, 31 Dec 2019;7;1601,521877
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Cervejaria PetrÃ³polis SA;million litres;2020;31-Dec-20;8;1568,590103
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Cervejaria PetrÃ³polis SA;million litres;2021;Friday, 31 Dec 2021;9;1574,269942
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Anadolu Group;million litres;2017;31 12 2017;5;2033,004838
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Anadolu Group;million litres;2018;Monday, 31 Dec 2018;6;1840,203488
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Anadolu Group;million litres;2019;31-12-19;7;1533,329993
;;;;;;;;;;
