,Location,Industry,Subcategory_ID,Hierarchy_Level,Data_Type,Global_Brand_Owner,Unit,Year_text,Year_date,Year_minus_2016,Volume,Volume_liters
106,World,Alcoholic Drinks,Beer,1.0,Total Volume,Kirin Holdings Co Ltd,million litres,2021.0,31-12-2021,9.0,2763.065364,2763065364.0
107,World,Alcoholic Drinks,Beer,1.0,Total Volume,Diageo Plc,million litres,2017.0,31-12-2017,5.0,1826.571202,1826571202.0
108,World,Alcoholic Drinks,Beer,1.0,Total Volume,Diageo Plc,million litres,2018.0,31-12-2018,6.0,1842.78428,1842784280.0
109,World,Alcoholic Drinks,Beer,1.0,Total Volume,Diageo Plc,million litres,2019.0,31-12-2019,7.0,1743.241742,1743241742.0
110,World,Alcoholic Drinks,Beer,1.0,Total Volume,Diageo Plc,million litres,2020.0,31-12-2020,8.0,2455.008651,2455008651.0
111,World,Alcoholic Drinks,Beer,1.0,Total Volume,Diageo Plc,million litres,2021.0,31-12-2021,9.0,2508.306602,2508306602.0
112,World,Alcoholic Drinks,Beer,1.0,Total Volume,Constellation Brands Inc,million litres,2017.0,31-12-2017,5.0,1506.373588,1506373588.0
113,World,Alcoholic Drinks,Beer,1.0,Total Volume,Constellation Brands Inc,million litres,2018.0,31-12-2018,6.0,1670.817872,1670817872.0
114,World,Alcoholic Drinks,Beer,1.0,Total Volume,Constellation Brands Inc,million litres,2019.0,31-12-2019,7.0,1859.013286,1859013286.0
115,World,Alcoholic Drinks,Beer,1.0,Total Volume,Constellation Brands Inc,million litres,2020.0,31-12-2020,8.0,2073.769748,2073769748.0000002
116,World,Alcoholic Drinks,Beer,1.0,Total Volume,Constellation Brands Inc,million litres,2021.0,31-12-2021,9.0,2303.541615,2303541615.0
117,World,Alcoholic Drinks,Beer,1.0,Total Volume,San Miguel Corp,million litres,2017.0,31-12-2017,5.0,1582.253627,1582253627.0
118,World,Alcoholic Drinks,Beer,1.0,Total Volume,San Miguel Corp,million litres,2018.0,31-12-2018,6.0,1635.442111,1635442111.0
119,World,Alcoholic Drinks,Beer,1.0,Total Volume,San Miguel Corp,million litres,2019.0,31-12-2019,7.0,1662.977692,1662977692.0
120,World,Alcoholic Drinks,Beer,1.0,Total Volume,San Miguel Corp,million litres,2020.0,31-12-2020,8.0,1913.559748,1913559748.0
121,World,Alcoholic Drinks,Beer,1.0,Total Volume,San Miguel Corp,million litres,2021.0,31-12-2021,9.0,2177.162971,2177162971.0
122,World,Alcoholic Drinks,Beer,1.0,Total Volume,Castel Groupe,million litres,2017.0,31-12-2017,5.0,1750.933458,1750933458.0
123,World,Alcoholic Drinks,Beer,1.0,Total Volume,Castel Groupe,million litres,2018.0,31-12-2018,6.0,1842.218732,1842218732.0
124,World,Alcoholic Drinks,Beer,1.0,Total Volume,Castel Groupe,million litres,2019.0,31-12-2019,7.0,1769.724406,1769724406.0
125,World,Alcoholic Drinks,Beer,1.0,Total Volume,Castel Groupe,million litres,2020.0,31-12-2020,8.0,1740.416722,1740416722.0
126,World,Alcoholic Drinks,Beer,1.0,Total Volume,Castel Groupe,million litres,2021.0,31-12-2021,9.0,1733.730953,1733730953.0
127,World,Alcoholic Drinks,Beer,1.0,Total Volume,Saigon Alcohol Beer & Beverages Corp (Sabeco),million litres,2017.0,31-12-2017,5.0,1298.701231,1298701231.0
128,World,Alcoholic Drinks,Beer,1.0,Total Volume,Saigon Alcohol Beer & Beverages Corp (Sabeco),million litres,2018.0,31-12-2018,6.0,1339.999961,1339999961.0
129,World,Alcoholic Drinks,Beer,1.0,Total Volume,Saigon Alcohol Beer & Beverages Corp (Sabeco),million litres,2019.0,31-12-2019,7.0,1396.799955,1396799955.0
130,World,Alcoholic Drinks,Beer,1.0,Total Volume,Saigon Alcohol Beer & Beverages Corp (Sabeco),million litres,2020.0,31-12-2020,8.0,1527.453336,1527453336.0
131,World,Alcoholic Drinks,Beer,1.0,Total Volume,Saigon Alcohol Beer & Beverages Corp (Sabeco),million litres,2021.0,31-12-2021,9.0,1654.31789,1654317890.0
132,World,Alcoholic Drinks,Beer,1.0,Total Volume,Cervejaria PetrÃ³polis SA,million litres,2017.0,31-12-2017,5.0,1489.940538,1489940538.0
133,World,Alcoholic Drinks,Beer,1.0,Total Volume,Cervejaria PetrÃ³polis SA,million litres,2018.0,31-12-2018,6.0,1629.510855,1629510855.0
134,World,Alcoholic Drinks,Beer,1.0,Total Volume,Cervejaria PetrÃ³polis SA,million litres,2019.0,31-12-2019,7.0,1601.521877,1601521877.0
135,World,Alcoholic Drinks,Beer,1.0,Total Volume,Cervejaria PetrÃ³polis SA,million litres,2020.0,31-12-2020,8.0,1568.590103,1568590103.0
136,World,Alcoholic Drinks,Beer,1.0,Total Volume,Cervejaria PetrÃ³polis SA,million litres,2021.0,31-12-2021,9.0,1574.269942,1574269942.0
137,World,Alcoholic Drinks,Beer,1.0,Total Volume,Anadolu Group,million litres,2017.0,31-12-2017,5.0,2033.004838,2033004838.0
138,World,Alcoholic Drinks,Beer,1.0,Total Volume,Anadolu Group,million litres,2018.0,31-12-2018,6.0,1840.203488,1840203488.0
139,World,Alcoholic Drinks,Beer,1.0,Total Volume,Anadolu Group,million litres,2019.0,31-12-2019,7.0,1533.329993,1533329993.0
140,World,Alcoholic Drinks,Beer,1.0,Total Volume,Anadolu Group,million litres,2020.0,31-12-2020,8.0,1489.012658,1489012658.0
141,World,Alcoholic Drinks,Beer,1.0,Total Volume,Anadolu Group,million litres,2021.0,31-12-2021,9.0,1481.195742,1481195742.0
142,World,Alcoholic Drinks,Beer,1.0,Total Volume,Suntory Holdings Ltd,million litres,2017.0,31-12-2017,5.0,1672.663711,1672663711.0
143,World,Alcoholic Drinks,Beer,1.0,Total Volume,Suntory Holdings Ltd,million litres,2018.0,31-12-2018,6.0,1679.903232,1679903232.0
144,World,Alcoholic Drinks,Beer,1.0,Total Volume,Suntory Holdings Ltd,million litres,2019.0,31-12-2019,7.0,1571.970234,1571970234.0
145,World,Alcoholic Drinks,Beer,1.0,Total Volume,Suntory Holdings Ltd,million litres,2020.0,31-12-2020,8.0,1465.432566,1465432566.0
146,World,Alcoholic Drinks,Beer,1.0,Total Volume,Suntory Holdings Ltd,million litres,2021.0,31-12-2021,9.0,1435.9174,1435917400.0
147,World,Alcoholic Drinks,Beer,1.0,Total Volume,Oetker-Gruppe,million litres,2017.0,31-12-2017,5.0,1239.484205,1239484205.0
148,World,Alcoholic Drinks,Beer,1.0,Total Volume,Oetker-Gruppe,million litres,2018.0,31-12-2018,6.0,1255.419627,1255419627.0
149,World,Alcoholic Drinks,Beer,1.0,Total Volume,Oetker-Gruppe,million litres,2019.0,31-12-2019,7.0,1259.301769,1259301769.0
150,World,Alcoholic Drinks,Beer,1.0,Total Volume,Oetker-Gruppe,million litres,2020.0,31-12-2020,8.0,1266.592758,1266592758.0
151,World,Alcoholic Drinks,Beer,1.0,Total Volume,Oetker-Gruppe,million litres,2021.0,31-12-2021,9.0,1282.895178,1282895178.0
